Artist,Number of weeks in top ten,Peak,Peak date,Title,Top ten entry date,Year
Kathy Young with the Innocents,8,3,12-Dec,A Thousand Stars,14-Nov,1960
Elvis Presley,11,1,28-Nov,Are You Lonesome Tonight?,21-Nov,1960
U.S. Bonds,3,6,28-Nov,New Orleans,21-Nov,1960
Johnny Horton,8,4,19-Dec,North to Alaska,28-Nov,1960
Jackie Wilson,1,8,28-Nov,Alone at Last,28-Nov,1960
Jerry Butler,3,7,5-Dec,He Will Break Your Heart,5-Dec,1960
Lolita,4,5,19-Dec,Sailor,5-Dec,1960
Connie Francis,4,7,26-Dec,Many Tears Ago,12-Dec,1960
Johnny Burnette,4,8,26-Dec,You're Sixteen,19-Dec,1960
Bert Kaempfert,10,1,9-Jan,Wonderland by Night,12-Dec,1961
Ferrante & Teicher,11,2,23-Jan,Exodus,12-Dec,1961
Ray Peterson,5,9,9-Jan,"Corrina, Corinna",26-Dec,1961
Rosie and the Originals,7,5,23-Jan,Angel Baby,December 31[1],1961
The Shirelles,7,1,30-Jan,Will You Love Me Tomorrow,9-Jan,1961
Bobby Vee,5,6,9-Jan,Rubber Ball,9-Jan,1961
Lawrence Welk,9,1,13-Feb,Calcutta,16-Jan,1961
The Miracles,6,2,20-Feb,Shop Around,23-Jan,1961
Neil Sedaka,5,4,13-Feb,Calendar Girl,23-Jan,1961
Brenda Lee,4,7,13-Feb,Emotions,30-Jan,1961
Jackie Wilson,1,9,6-Feb,My Empty Arms,6-Feb,1961
Chubby Checker,8,1,27-Feb,Pony Time,13-Feb,1961
The Capris,4,3,27-Feb,There's a Moon Out Tonight,13-Feb,1961
The Shirelles,9,3,27-Mar,Dedicated to the One I Love,20-Feb,1961
The String-a-Longs,6,3,6-Mar,Wheels,20-Feb,1961
Elvis Presley,8,1,20-Mar,Surrender,27-Feb,1961
Marty Robbins,7,3,20-Mar,Don't Worry,27-Feb,1961
Connie Francis,5,4,20-Mar,Where the Boys Are,27-Feb,1961
The Everly Brothers,4,8,20-Mar,Ebony Eyes,27-Feb,1961
Buzz Clifford,3,6,13-Mar,Baby Sittin' Boogie,6-Mar,1961
Ben E. King,1,10,13-Mar,Spanish Harlem,13-Mar,1961
Jørgen Ingmann and his Guitar,5,2,3-Apr,Apache,20-Mar,1961
The Everly Brothers,4,7,27-Mar,Walk Right Back,20-Mar,1961
The Marcels,8,1,3-Apr,Blue Moon,27-Mar,1961
Carla Thomas,1,10,27-Mar,Gee Whiz (Look at His Eyes),27-Mar,1961
Floyd Cramer,6,4,17-Apr,On the Rebound,3-Apr,1961
Del Shannon,9,1,24-Apr,Runaway,3-Apr,1961
"Clarence ""Frogman"" Henry",5,4,24-Apr,(I Don't Know Why) But I Do,3-Apr,1961
Ernie K-Doe,8,1,22-May,Mother-in-Law,10-Apr,1961
Kokomo,1,8,17-Apr,Asia Minor,17-Apr,1961
Gene McDaniels,8,3,8-May,A Hundred Pounds of Clay,17-Apr,1961
Linda Scott,5,3,1-May,I've Told Every Little Star,24-Apr,1961
Brenda Lee,4,6,8-May,You Can Depend on Me,24-Apr,1961
Adam Wade,4,7,1-May,Take Good Care of Her,24-Apr,1961
Ray Charles,3,8,1-May,One Mint Julep,24-Apr,1961
Steve Lawrence,1,9,8-May,Portrait of My Love,8-May,1961
Shep and the Limelites,4,2,29-May,Daddy's Home,15-May,1961
Ricky Nelson,8,1,29-May,Travelin' Man,15-May,1961
The Shirelles,4,4,29-May,Mama Said,15-May,1961
