Artist,Number of weeks in top ten,Peak,Peak date,Title,Top ten entry date,Year,Unique Words,Total Words
Chubby Checker,8,1,27-Feb,Pony Time,13-Feb,1961,69,322
The Capris,4,3,27-Feb,There's a Moon Out Tonight,13-Feb,1961,49,170
The Shirelles,9,3,27-Mar,Dedicated to the One I Love,20-Feb,1961,58,152
The String-a-Longs,6,3,6-Mar,Wheels,20-Feb,1961,74,184
Elvis Presley,8,1,20-Mar,Surrender,27-Feb,1961,64,102
Marty Robbins,7,3,20-Mar,Don't Worry,27-Feb,1961,61,150
Connie Francis,5,4,20-Mar,Where the Boys Are,27-Feb,1961,52,122
The Everly Brothers,4,8,20-Mar,Ebony Eyes,27-Feb,1961,128,235
Buzz Clifford,3,6,13-Mar,Baby Sittin' Boogie,6-Mar,1961,136,232
Ben E. King,1,10,13-Mar,Spanish Harlem,13-Mar,1961,66,140
Jørgen Ingmann and his Guitar,5,2,3-Apr,Apache,20-Mar,1961,124,286
The Everly Brothers,4,7,27-Mar,Walk Right Back,20-Mar,1961,51,176
The Marcels,8,1,3-Apr,Blue Moon,27-Mar,1961,57,110
Carla Thomas,1,10,27-Mar,Gee Whiz (Look at His Eyes),27-Mar,1961,67,115
Floyd Cramer,6,4,17-Apr,On the Rebound,3-Apr,1961,6,7
Del Shannon,9,1,24-Apr,Runaway,3-Apr,1961,62,153
"Clarence ""Frogman"" Henry",5,4,24-Apr,(I Don't Know Why) But I Do,3-Apr,1961,53,153
Ernie K-Doe,8,1,22-May,Mother-in-Law,10-Apr,1961,72,135
Kokomo,1,8,17-Apr,Asia Minor,17-Apr,1961,160,286
Gene McDaniels,8,3,8-May,A Hundred Pounds of Clay,17-Apr,1961,91,195
Linda Scott,5,3,1-May,I've Told Every Little Star,24-Apr,1961,46,120
Brenda Lee,4,6,8-May,You Can Depend on Me,24-Apr,1961,55,129
Adam Wade,4,7,1-May,Take Good Care of Her,24-Apr,1961,73,142
Ray Charles,3,8,1-May,One Mint Julep,24-Apr,1961,99,202
Steve Lawrence,1,9,8-May,Portrait of My Love,8-May,1961,44,96
Shep and the Limelites,4,2,29-May,Daddy's Home,15-May,1961,70,171
Ricky Nelson,8,1,29-May,Travelin' Man,15-May,1961,74,183
The Shirelles,4,4,29-May,Mama Said,15-May,1961,68,264
Roy Orbison,4,1,5-Jun,Running Scared,22-May,1961,59,87
Connie Francis,3,7,29-May,Breakin' in a Brand New Broken Heart,22-May,1961,63,124
Ricky Nelson,1,9,22-May,Hello Mary Lou,22-May,1961,85,193
Elvis Presley,3,5,5-Jun,I Feel So Bad,29-May,1961,45,118
The Fleetwoods,1,10,29-May,Tragedy,29-May,1961,43,105
Ben E. King,4,4,12-Jun,Stand by Me,5-Jun,1961,53,164
Pat Boone,6,1,19-Jun,Moody River,5-Jun,1961,88,174
Dee Clark,8,2,26-Jun,Raindrops,5-Jun,1961,55,171
